"filename","label","File Offset (s)","quality","duration"
"LLA05_20240715_070000.wav","PRTR1",24.3681,"C",0.267790717999997
"PAA02_20240626_120000.wav","PRTR1",43.5945,"C",0.232085288000007
"PAA02_20240630_090000.wav","PRTR1",21.9424,"A",0.827175771999975
"PAA02_20240630_090000.wav","PRTR2",22.8159,"A",0.910488439000005
"PAA02_20240630_090000.wav","PRTR3",24.1549,"A",0.708157675000024
"PAA02_20240630_090000.wav","PRTR2",45.3129,"B",1.02355563200001
"PAA02_20240630_090000.wav","PRTR3",47.0459,"A",1.41036444599999
"PAA02_20240702_110000.wav","PRTR1",14.3341,"B",0.547483244000006
"PAA02_20240702_110000.wav","PRTR1",16.1422,"B",0.660550437000012
"PAA02_20240702_110000.wav","PRTR2",17.3712,"B",0.737912200000011
"PAA02_20240702_110000.wav","PRTR3",18.4195,"B",0.559385055000007
"PAA02_20240702_110000.wav","PRTR2",34.3822,"C",0.696255866000001
"PAA02_20240702_110000.wav","PRTR3",35.7915,"B",0.666501342000004
"PAA02_20240702_110000.wav","PRTR3",36.696,"C",0.493925101000002
"PAA02_20240702_130000.wav","PRTR1",29.1674,"C",0.273741623000035
"PAA02_20240703_120000.wav","PRTR1",18.3401,"B",0.493925101000002
"PAA02_20240703_120000.wav","PRTR3",20.5346,"C",0.422514242999966
"PAA02_20240703_120000.wav","PRTR3",40.7344,"C",0.279692527999998
"PAA02_20240703_120000.wav","PRTR1",56.9287,"B",0.446317863000047
"PAA02_20240704_060000.wav","PRTR1",2.6258,"B",0.583188673999985
"PAA02_20240704_060000.wav","PRTR2",3.9864,"C",0.583188673999985
"PAA02_20240704_060000.wav","PRTR3",4.7481,"B",0.672452245999978
"PAA02_20240704_060000.wav","PRTR2",45.1136,"C",0.731961295000019
"PAA02_20240704_060000.wav","PRTR3",46.2145,"B",0.749814010000023
"PAA02_20240704_060000.wav","PRTR3",47.1454,"C",0.487974197000028
"PAA02_20240707_100000.wav","PRTR1",38.0591,"B",0.32729976600001
"PAA02_20240711_080000.wav","PRTR3",11.4007,"B",0.785519437999994
"PAA02_20240711_080000.wav","PRTR3",12.3112,"C",0.482023292000008
"PAA02_20240711_080000.wav","PRTR1",38.9164,"A",0.821224866999955
"PAA02_20240711_080000.wav","PRTR3",41.1885,"C",0.589139579000062
"PAA02_20240711_080000.wav","PRTR2",54.4788,"C",0.964046583000027
"PAA02_20240711_080000.wav","PRTR3",56.2283,"B",0.612943199000028
"PAA02_20240712_100000.wav","PRTR3",6.9106,"B",0.577237769000021
"PAA02_20240712_100000.wav","PRTR3",7.9163,"C",0.321348861000047
"PAA02_20240712_100000.wav","PRTR1",36.1336,"A",0.797421248000092
"PAA02_20240713_110000.wav","PRTR1",30.5703,"C",0.190428955000016
"PAA02_20240715_090000.wav","PRTR3",1.9388,"B",0.440366958000027
"PAA02_20240715_090000.wav","PRTR1",0.0345,"C",0.380857909999918
"PAA02_20240715_090000.wav","PRTR1",51.8626,"B",0.639604624999947
"PAA02_20240715_090000.wav","PRTR2",53.1671,"B",0.706931427000086
"PAA02_20240715_090000.wav","PRTR3",54.1265,"B",0.74901067899998
"PAA02_20240718_090000.wav","PRTR2",13.823,"B",1.08564469200007
"PAA02_20240718_090000.wav","PRTR3",15.5126,"B",0.984654487999933
"PAA02_20240718_090000.wav","PRTR3",16.5646,"B",0.446040067000013
"PAA02_20240718_090000.wav","PRTR2",32.3724,"C",0.782674080999982
"PAA02_20240718_090000.wav","PRTR1",39.6504,"A",1.22029829799999
"PAA02_20240718_090000.wav","PRTR2",40.9296,"B",0.648020474999953
"PAA02_20240718_090000.wav","PRTR3",41.889,"B",0.74901067899998
"PAA02_20240718_090000.wav","PRTR1",51.6963,"C",0.462871768000014
"PAA02_20240719_090000.wav","PRTR1",43.4944,"B",0.690099727000074
"PAA02_20240719_090000.wav","PRTR3",45.7563,"C",0.488119318999907
"PAA02_20240719_120000.wav","PRTR1",9.009,"B",0.732178979000082
"PAA02_20240719_120000.wav","PRTR2",10.1861,"C",0.757426529000099
"PAA02_20240719_120000.wav","PRTR3",11.2549,"C",0.723763128999963
"PAA02_20240719_120000.wav","PRTR2",38.8728,"C",0.984654487999933
"PAA02_20240719_120000.wav","PRTR3",40.5475,"B",0.850000883000007
"PAA02_20240719_120000.wav","PRTR3",41.5659,"C",0.454455918000008
"PAA02_20240720_060000.wav","PRTR1",10.3873,"B",0.437624217000007
"PAA02_20240720_110000.wav","PRTR1",16.0941,"A",0.648020474999953
"PAA02_20240720_110000.wav","PRTR2",35,"B",0.631188775000055
"PAA02_20240720_110000.wav","PRTR3",36.3801,"A",0.656436324999959
"PAA02_20240720_110000.wav","PRTR3",37.3395,"B",0.420792516999995
"PAA02_20240720_110000.wav","PRTR1",56.009,"A",0.816337481999994
"PAA02_20240720_110000.wav","PRTR2",56.9431,"B",1.07722884200007
"PAA02_20240720_140000.wav","PRTR3",17.9876,"C",0.513366870000027
"PAA02_20240720_140000.wav","PRTR1",37.3188,"B",0.807921630999999
"PAA02_20240720_140000.wav","PRTR3",55.4026,"C",0.681683876000079
"PAA02_20240720_140000.wav","PRTR3",56.4041,"C",0.54703027100004
"PAA02_20240721_090000.wav","PRTR1",1.835,"C",0.580693672000052
"PAA02_20240721_110000.wav","PRTR3",17.5311,"C",0.54703027100004
"PAA02_20240721_110000.wav","PRTR1",46.4241,"A",0.538614421000148
"PAA02_20240721_130000.wav","PRTR1",55.1062,"A",1.02673374000005
"PAA02_20240721_130000.wav","PRTR2",56.2521,"C",0.791089930999988
"PAA02_20240721_130000.wav","PRTR3",57.3546,"B",0.850000882999893
"PAA02_20240721_140000.wav","PRTR1",0.1855,"A",0.690099727000188
"PAA02_20240721_140000.wav","PRTR2",1.11,"B",1.03514959000017
"PAA02_20240721_140000.wav","PRTR3",2.4434,"B",0.791089930999988
